Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 17 (%);H 26 (%);H 27 (%);H 28 (%);H 31 (%);H 32 (%);H 33 (%);H 34 (%);H 35 (%);H 37 (%);H 39 (%);H 40 (%);H 41 (%);H 42 (%);H 43 (%);H 44 (%)
ACARAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;212;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;797;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
ACOPIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;53;19;36%;26%;37%;37%;61%;74;65;63;74;58;79;16;32;;26;84;;68;53;42;72
ALCANTARAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;143;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
ALTANEIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;11;11;100%;0%;27%;73%;79%;82;95;73;91;91;100;0;55;55;;86;82;86;91;77;77
ALTO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;82;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
ANTONINA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;79;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
ARACATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;909;784;86%;22%;24%;54%;61%;77;79;57;63;63;50;50;53;54;39;78;60;69;71;37;59
ARACOIABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;344;326;95%;29%;27%;44%;57%;69;71;55;61;59;56;49;49;44;42;71;46;63;66;32;60
ARARENDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;129;128;99%;0%;2%;98%;85%;88;92;93;98;92;71;80;80;;70;90;;91;88;52;96
ARARIPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;290;1;0%;0%;0%;100%;64%;100;100;100;100;0;50;50;50;100;100;100;50;67;0;0;100
ARATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;182;166;91%;18%;32%;50%;60%;79;83;48;70;63;68;31;61;43;28;78;64;64;63;30;52
ARNEIROZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;8;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
ASSARE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;202;7;3%;100%;0%;0%;21%;29;24;0;14;0;14;86;0;;14;14;;7;14;21;33
AURORA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;227;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
BARRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;251;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
BARROQUINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;228;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
BATURITE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;377;6;2%;0%;17%;83%;72%;83;100;83;100;100;42;83;67;50;33;100;50;83;67;;92
BELA CRUZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;146;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
BOA VIAGEM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;10;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
BREJO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;363;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
CAMOCIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;664;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
CAMPOS SALES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;41;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
CANINDE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;814;33;4%;18%;42%;39%;58%;73;76;36;52;73;33;21;44;45;32;74;59;76;63;32;49
CAPISTRANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;197;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
CARIRIACU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;142;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
CARNAUBAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;229;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
CASCAVEL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;732;75;10%;27%;36%;37%;55%;72;80;47;53;45;52;65;46;41;30;77;53;61;57;38;51
CATARINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;114;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
CATUNDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;144;10;7%;0%;0%;100%;88%;95;100;90;90;90;85;70;85;100;75;80;90;90;90;;90
CAUCAIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;2255;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
CHAVAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;182;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
CHORO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;178;135;76%;30%;19%;51%;60%;71;72;68;70;72;57;19;56;;29;79;;74;59;39;55
CRATEUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;801;674;84%;20%;21%;59%;66%;77;81;69;77;73;63;32;67;59;39;81;78;74;65;46;59
CRATO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;123;68;55%;22%;43%;35%;56%;75;79;59;69;62;50;37;48;43;35;78;50;62;62;36;46
CROATA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;232;19;8%;5%;26%;68%;73%;89;89;89;89;79;63;26;53;;32;89;;84;84;53;63
ERERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;93;19;20%;26%;16%;58%;56%;80;68;53;68;68;47;44;53;42;37;58;58;65;68;25;47
EUSEBIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;940;14;1%;7%;0%;93%;67%;86;95;79;36;79;0;79;0;0;7;100;0;80;93;36;62
FARIAS BRITO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;21;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
FORQUILHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;253;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
FORTIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;204;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
GRANJA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;748;681;91%;17%;23%;60%;68%;75;82;75;76;80;71;28;71;;39;82;;78;63;42;64
GRANJEIRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;81;23;28%;22%;17%;57%;57%;68;75;22;65;52;78;26;70;;13;83;;74;65;33;46
GROAIRAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;136;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
GUARAMIRANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;81;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
HORIZONTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
IBARETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;190;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
IBIAPINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;314;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
ICAPUI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;90;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
ICO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;672;140;21%;26%;28%;46%;57%;65;80;54;63;57;47;29;50;59;37;73;52;63;66;35;53
IGUATU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;176;123;70%;34%;30%;36%;52%;65;67;39;53;57;58;21;47;38;25;68;40;59;57;40;43
IPAPORANGA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;163;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
IPAUMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;133;106;80%;33%;19%;48%;56%;70;75;44;60;64;50;67;49;49;28;70;60;67;54;37;51
IRACEMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;121;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
IRAUCUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;345;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
ITAICABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;94;90;96%;23%;21%;56%;64%;76;80;67;70;69;63;33;68;;53;77;;67;56;44;56
