Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 16 (%);H 17 (%)
ACARAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;177;170;96%;9%;26%;65%;72%;64;77;81;93;90;66;75;69;89;22;79;65;48
ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;882;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ACOPIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;205;41;20%;24%;32%;44%;63%;65;67;80;88;80;51;60;53;87;31;69;40;33
ALCANTARAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;183;148;81%;5%;11%;84%;82%;73;89;95;98;96;80;91;86;96;83;85;66;50
ALTANEIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;20;19;95%;16%;42%;42%;64%;68;58;92;50;84;71;53;63;89;47;61;53;37
ALTO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;88;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ANTONINA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;73;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
AQUIRAZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1092;42;4%;100%;0%;0%;19%;42;30;46;2;7;15;14;4;10;2;21;2;24
ARACATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;950;819;86%;17%;24%;59%;68%;68;80;78;90;90;57;73;63;82;25;66;51;44
ARACOIABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;332;310;93%;14%;22%;65%;71%;73;82;72;91;77;61;79;68;84;40;73;53;59
ARARENDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;158;153;97%;1%;0%;99%;93%;92;90;93;94;93;93;94;92;93;95;92;93;93
ARARIPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;339;19;6%;58%;11%;32%;53%;34;37;95;61;74;61;45;63;68;66;32;53;18
ARATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;200;181;91%;17%;22%;61%;68%;58;78;85;90;91;56;78;65;85;27;68;55;42
ARNEIROZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;9;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ASSARE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;200;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
AURORA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;199;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
BAIXIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;33;22;67%;0%;0%;100%;88%;91;100;100;95;100;73;100;91;98;73;75;77;70
BARRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;199;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
BARROQUINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;273;255;93%;17%;19%;64%;70%;67;82;84;93;93;55;83;61;84;29;69;48;52
BATURITE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;405;364;90%;14%;19%;67%;73%;74;84;85;88;92;59;77;66;88;39;67;56;55
BELA CRUZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;327;286;87%;6%;13%;81%;82%;77;87;94;95;98;81;91;80;97;75;85;68;55
BOA VIAGEM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;37;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
BREJO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;555;534;96%;14%;18%;68%;74%;75;78;85;88;89;63;82;71;84;58;67;64;57
CAMOCIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;898;737;82%;15%;16%;69%;72%;71;82;80;90;91;63;79;70;79;38;72;52;55
CAMPOS SALES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;37;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
CANINDE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;848;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
CAPISTRANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;205;45;22%;100%;0%;0%;19%;41;30;46;4;13;19;20;8;4;24;9;16;12
CARIDADE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;52;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
CARIRIACU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;198;8;4%;0%;0%;100%;84%;94;94;81;100;100;88;100;88;100;50;100;50;31
CARIUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;178;165;93%;8%;19%;73%;73%;61;90;80;98;97;63;88;68;95;32;77;48;42
CARNAUBAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;272;232;85%;20%;24%;56%;65%;64;79;79;87;92;60;69;55;76;21;62;40;45
CASCAVEL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;725;88;12%;8%;26%;66%;76%;70;80;90;93;95;71;85;74;86;62;56;63;52
CATARINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;138;101;73%;19%;10%;70%;73%;59;79;89;93;92;61;81;70;81;56;68;;55
CATUNDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;151;94;62%;26%;11%;64%;68%;77;76;77;74;76;71;66;66;70;44;80;46;49
CAUCAIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;3951;3424;87%;25%;25%;49%;62%;62;69;73;85;86;54;62;55;77;26;60;45;43
CEDRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;203;189;93%;5%;21%;74%;81%;78;80;97;95;97;77;90;83;94;80;;69;52
CHAVAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;178;165;93%;12%;20%;68%;72%;66;82;87;94;97;61;79;58;86;38;69;58;53
CHORO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;198;158;80%;11%;11%;77%;75%;89;84;84;95;93;63;77;73;86;42;72;56;46
COREAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;54;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
CRATEUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;762;673;88%;14%;20%;66%;70%;74;83;81;89;91;62;75;65;77;28;70;53;46
CRATO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;305;129;42%;12%;26%;61%;71%;69;84;86;76;87;59;76;70;82;57;75;67;49
CROATA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;244;241;99%;1%;4%;95%;86%;93;96;95;97;97;71;93;87;91;46;86;74;77
CRUZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;477;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ERERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;61;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
EUSEBIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;891;84;9%;6%;8%;86%;81%;86;91;92;95;98;77;89;80;92;40;75;77;49
