Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%)
ABAIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;116;116;100%;19%;31%;50%;73%;92;87;65;49;45;65;81;77;86
ACARAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;203;157;77%;26%;35%;39%;64%;89;89;52;42;46;52;65;78;83
ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;945;864;91%;27%;32%;42%;65%;93;88;64;48;46;52;70;80;71
ACOPIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;353;49;14%;53%;35%;12%;54%;86;76;53;37;37;41;35;46;70
AIUABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;120;0;0%;0%;0%;0%;0%;;;;;;;;;
ALCANTARAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;173;145;84%;22%;26%;51%;76%;94;93;78;58;46;64;84;79;69
ALTO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;192;182;95%;31%;38%;31%;64%;91;85;67;31;47;57;62;69;58
ANTONINA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;79;77;97%;29%;40%;31%;64%;90;59;58;60;47;51;71;65;83
AQUIRAZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1238;1052;85%;28%;25%;47%;69%;91;83;69;53;50;63;71;76;69
ARACATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;883;735;83%;27%;27%;46%;69%;91;85;66;53;53;66;68;71;68
ARACOIABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;330;292;88%;44%;22%;34%;63%;81;75;66;37;45;57;65;65;67
ARARENDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;149;142;95%;0%;36%;64%;78%;73;74;82;83;70;74;78;85;81
ARARIPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;369;307;83%;43%;24%;33%;63%;87;83;57;41;47;57;56;65;69
ARATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;207;164;79%;16%;24%;60%;73%;91;85;76;58;60;70;71;80;81
ARNEIROZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;92;78;85%;26%;28%;46%;66%;90;83;66;57;53;45;59;73;78
ASSARE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;344;275;80%;36%;30%;34%;59%;87;69;51;41;39;47;57;65;87
AURORA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;228;0;0%;0%;0%;0%;0%;;;;;;;;;
BAIXIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;87;63;72%;0%;14%;86%;89%;93;77;91;83;90;95;90;88;89
BANABUIU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;257;160;62%;32%;31%;38%;64%;87;71;61;36;50;60;57;78;79
BARBALHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1;0;0%;0%;0%;0%;0%;;;;;;;;;
BARREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;301;282;94%;41%;32%;28%;61%;90;86;58;40;42;57;57;65;55
BARRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;244;196;80%;54%;28%;18%;54%;86;83;48;28;27;44;49;58;71
BARROQUINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;267;237;89%;31%;32%;37%;65%;88;88;61;39;48;51;63;74;72
BATURITE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;353;309;88%;28%;38%;34%;67%;93;86;62;38;48;58;60;70;77
BELA CRUZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;297;0;0%;0%;0%;0%;0%;;;;;;;;;
BOA VIAGEM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;868;558;64%;35%;27%;38%;62%;90;85;61;46;44;51;63;69;69
BREJO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;576;547;95%;31%;22%;47%;66%;89;81;55;48;48;62;61;69;85
CAMOCIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;936;679;73%;29%;29%;42%;72%;92;91;74;53;48;60;74;73;61
CAMPOS SALES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;329;267;81%;45%;17%;38%;62%;82;70;61;45;54;57;52;60;71
CANINDE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1002;84;8%;43%;26%;31%;60%;80;71;58;37;45;52;65;67;57
