Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 75 (%);H 77 (%);H 80 (%);H 82 (%);H 83 (%);H 84 (%);H 85 (%);H 86 (%);H 87 (%);H 88 (%);H 89 (%);H 90 (%);H 91 (%);H 93 (%)
CATUNDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;124;117;94%;34%;16%;50%;56%;73;52;51;58;63;49;66;62;58;51;65;49;40;45
CAUCAIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;3124;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
CEDRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;25;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
CHAVAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;177;167;94%;27%;26%;47%;58%;70;54;54;69;53;70;67;64;54;44;59;53;46;48
CHORO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;221;35;16%;17%;26%;57%;66%;83;56;69;83;54;80;69;56;80;62;83;66;34;51
CRATEUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;865;783;91%;36%;22%;42%;54%;71;53;52;61;52;56;68;64;56;36;57;41;36;45
CRATO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;255;145;57%;30%;25%;45%;57%;72;57;49;72;48;70;77;68;47;37;50;39;53;47
CROATA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;256;240;94%;32%;22%;47%;58%;74;53;64;63;49;63;71;66;58;47;51;49;50;44
ERERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;89;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
EUSEBIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;976;30;3%;20%;37%;43%;62%;80;50;50;67;40;80;75;70;85;37;60;53;63;50
FARIAS BRITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;18;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
FORQUILHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;307;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
FORTALEZA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;19447;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
FORTIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;238;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
FRECHEIRINHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;281;265;94%;32%;19%;49%;59%;77;57;56;59;52;54;65;65;70;47;67;51;48;52
GRACA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;19;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
GRANJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;861;787;91%;13%;14%;73%;72%;83;68;70;74;74;78;83;79;76;62;72;61;60;67
GRANJEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;74;33;45%;52%;30%;18%;41%;52;42;39;47;24;48;55;50;39;24;48;33;32;30
GROAIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;133;124;93%;15%;18%;67%;69%;87;65;67;77;55;70;73;67;82;65;76;63;44;64
GUARAMIRANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;79;73;92%;40%;32%;29%;49%;75;47;42;69;48;78;84;70;36;29;48;34;23;29
IBARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;157;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
IBIAPINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;350;286;82%;35%;21%;44%;54%;66;50;55;60;43;56;65;55;59;45;56;47;41;47
ICAPUI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;330;286;87%;40%;21%;39%;53%;70;52;60;60;49;57;72;64;51;38;48;41;41;38
ICO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;791;660;83%;56%;23%;22%;43%;57;39;46;50;30;29;52;48;42;33;50;45;37;34
IGUATU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;143;25;17%;64%;12%;24%;37%;60;56;24;52;24;24;42;42;26;16;40;32;30;34
INDEPENDENCIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;4;4;100%;0%;0%;100%;89%;100;100;100;100;;100;100;100;88;50;;38;100;100
IPAPORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;161;161;100%;52%;22%;26%;45%;66;43;52;49;41;37;53;52;44;43;47;38;32;30
IPAUMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;153;149;97%;45%;26%;29%;49%;64;42;46;65;33;54;61;69;45;40;54;44;33;33
IPU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;217;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
IPUEIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;14;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
IRACEMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;187;152;81%;56%;18%;26%;43%;54;33;41;55;37;43;55;52;41;38;51;37;29;32
IRAUCUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;378;2;1%;100%;0%;0%;23%;50;0;50;50;0;0;50;25;0;0;0;0;0;50
ITAICABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;114;109;96%;23%;22%;55%;62%;78;61;64;64;49;67;78;74;61;46;68;50;51;51
ITAITINGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;872;771;88%;45%;25%;29%;48%;61;42;40;59;43;57;62;60;43;35;46;40;39;33
ITAPAJE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;431;254;59%;48%;25%;27%;47%;70;40;42;69;36;49;56;54;54;33;49;42;19;35
ITATIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;167;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
JAGUARIBARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;16;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;487;447;92%;49%;25%;26%;47%;65;40;40;55;42;48;60;59;52;35;45;35;37;33
JARDIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;399;372;93%;42%;22%;36%;51%;62;43;47;61;39;52;61;60;52;50;50;45;45;38
JATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;127;21;17%;33%;29%;38%;51%;69;76;33;48;43;76;71;67;38;38;29;33;40;45
JUAZEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1400;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
JUCAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;358;350;98%;34%;24%;42%;55%;73;52;46;72;48;73;64;68;59;39;59;45;37;41
LIMOEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;600;528;88%;43%;25%;32%;50%;65;49;44;55;47;54;62;59;53;40;54;42;36;35
MADALENA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;258;227;88%;26%;29%;45%;58%;72;51;49;65;56;59;72;61;59;49;61;49;44;56
MARACANAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1066;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
MARANGUAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;72;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
MARCO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;474;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
MARTINOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;205;156;76%;28%;15%;56%;64%;78;57;70;68;58;72;72;65;65;61;72;55;53;53
MASSAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;514;482;94%;28%;21%;52%;58%;76;52;48;58;56;62;71;66;64;41;55;47;53;44
MAURITI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;600;520;87%;47%;22%;31%;47%;60;43;49;57;36;43;53;55;47;35;52;43;47;36
MERUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;232;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
MILAGRES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;23;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
MIRAIMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;17;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
MOMBACA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;27;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
MONSENHOR TABOSA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;154;140;91%;31%;22%;47%;56%;75;56;43;61;46;53;73;67;68;47;54;43;44;39
MORADA NOVA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;394;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
MUCAMBO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;195;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
MULUNGU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;164;143;87%;27%;19%;55%;64%;74;47;66;76;44;73;79;69;61;56;61;68;78;46
NOVA OLINDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;245;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
NOVA RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;304;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
NOVO ORIENTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;399;390;98%;20%;26%;53%;62%;78;60;62;67;70;65;72;71;63;51;59;45;51;52
OCARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;86;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
PACAJUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;230;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
PACUJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;80;70;88%;30%;17%;53%;59%;74;56;44;63;56;49;72;64;69;46;67;54;39;57
PALHANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;93;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
PALMACIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;126;120;95%;22%;19%;59%;64%;76;66;65;73;60;84;75;73;57;61;64;45;50;57
PARACURU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;582;493;85%;44%;20%;36%;50%;64;45;52;57;48;48;60;59;44;49;49;41;39;34
PARAMOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;24;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
PEDRA BRANCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;460;424;92%;0%;0%;100%;98%;99;97;98;99;97;95;98;100;98;98;99;99;96;97
PENTECOSTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;613;390;64%;55%;27%;18%;41%;55;34;38;62;28;49;45;51;0;33;43;42;0;28
PEREIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;138;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
PINDORETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;310;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
PIQUET CARNEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;25;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
PIRES FERREIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;118;117;99%;3%;0%;97%;94%;97;94;94;96;91;97;94;97;25;93;95;82;50;96
PORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;154;139;90%;45%;24%;31%;47%;63;42;37;54;46;49;55;52;42;35;63;42;44;33
PORTEIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;133;4;3%;100%;0%;0%;27%;0;0;25;63;0;0;38;50;13;0;50;25;50;38
POTENGI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;109;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
POTIRETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;103;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
QUIXELO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;234;206;88%;55%;22%;22%;43%;63;38;35;46;43;41;54;48;46;31;35;36;32;36
QUIXERAMOBIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1217;970;80%;21%;17%;62%;66%;74;59;66;75;62;66;73;72;67;63;70;58;52;61
QUIXERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;253;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
REDENCAO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;412;387;94%;56%;19%;25%;44%;58;39;44;48;40;34;53;49;43;40;53;36;37;33
RERIUTABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;232;207;89%;35%;21%;43%;56%;71;53;55;65;47;51;62;62;63;50;63;55;40;45
RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;70;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
SABOEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;194;148;76%;34%;23%;43%;56%;71;58;58;60;47;57;63;66;51;51;53;44;55;41
SALITRE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;312;17;5%;59%;41%;0%;36%;47;29;35;56;24;41;59;29;47;18;59;32;41;0
SANTANA DO ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;126;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
SANTANA DO CARIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;172;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
SAO BENEDITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;457;20;4%;35%;30%;35%;49%;75;50;60;70;60;60;70;40;30;20;35;35;50;25
SAO JOAO DO JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;64;61;95%;39%;28%;33%;50%;77;43;39;61;44;44;63;61;43;16;52;48;44;35
SENADOR POMPEU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;171;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
SOLONOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;165;158;96%;44%;16%;39%;53%;63;54;53;61;51;39;67;57;53;45;59;45;42;42
TABULEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;342;127;37%;39%;31%;31%;50%;65;51;40;58;44;54;63;59;46;40;51;46;36;37
TAMBORIL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;37;3;8%;33%;0%;67%;52%;60;75;25;40;75;0;67;60;100;75;75;0;20;50
TAUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;569;9;2%;56%;11%;33%;45%;44;22;22;39;44;22;44;50;50;44;78;72;33;44
TEJUCUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;300;270;90%;41%;26%;33%;49%;62;44;46;54;50;43;63;56;51;40;56;38;40;38
TIANGUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1095;940;86%;41%;27%;32%;49%;61;40;46;54;52;49;66;58;46;31;49;42;42;39
TRAIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;670;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
UBAJARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;522;432;83%;30%;22%;47%;57%;68;57;60;62;59;56;67;59;59;51;64;46;47;49
UMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;276;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
URUBURETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;318;24;8%;58%;21%;21%;44%;67;38;29;38;42;42;60;54;48;42;46;29;31;35
URUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;213;193;91%;27%;16%;57%;63%;75;62;56;72;57;62;71;65;66;51;76;63;42;57
VARJOTA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;229;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
VICOSA DO CEARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;899;73;8%;25%;14%;62%;62%;77;55;37;75;66;64;75;75;56;41;85;60;38;53
