Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 69 (%);H 71 (%);H 72 (%);H 74 (%);H 75 (%);H 78 (%);H 79 (%);H 80 (%);H 81 (%);H 82 (%);H 84 (%);H 85 (%);H 86 (%);H 87 (%);H 88 (%);H 90 (%);H 91 (%);H 92 (%);H 93 (%)
CASCAVEL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;732;82;11%;39%;22%;39%;54%;69;40;70;74;77;;55;16;64;56;42;36;33;37;94;55;75;76;46
CATARINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;114;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
CATUNDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;144;10;7%;10%;20%;70%;75%;;80;90;100;;80;90;40;85;80;80;50;70;65;;60;;85;50
CAUCAIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;2255;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
CHAVAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;182;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
CHORO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;178;130;73%;44%;18%;38%;53%;62;40;61;65;;60;64;27;45;59;;47;;;39;39;66;67;37
CRATEUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;801;684;85%;30%;17%;54%;61%;74;50;75;78;77;68;71;27;63;65;69;47;73;69;42;51;73;76;44
CRATO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;123;52;42%;33%;27%;40%;56%;74;47;81;63;77;75;70;25;55;62;42;35;25;42;38;94;77;94;50
CROATA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;232;19;8%;32%;37%;26%;53%;74;58;84;74;;68;82;42;53;66;42;29;26;11;42;21;68;;16
ERERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;93;19;20%;53%;16%;32%;48%;64;31;53;63;64;80;74;26;50;53;42;32;21;24;;64;75;77;53
EUSEBIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;940;14;1%;7%;14%;79%;78%;100;33;86;79;92;0;80;0;100;80;92;67;92;77;79;64;71;86;79
FARIAS BRITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;21;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
FORQUILHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;253;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
FORTIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;204;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
GRANJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;735;673;92%;27%;15%;58%;63%;75;56;74;81;;69;70;27;57;69;;58;;;49;58;74;67;44
GRANJEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;81;23;28%;22%;9%;70%;69%;74;70;74;74;74;;87;9;70;76;;78;;;39;74;74;70;39
GROAIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;136;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
GUARAMIRANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;81;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
HORIZONTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
IBARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;190;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
IBIAPINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;314;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
ICAPUI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;90;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
ICO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;685;171;25%;47%;30%;22%;47%;64;28;70;58;54;63;60;27;43;50;46;39;26;21;43;41;75;60;31
IGUATU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;176;122;69%;51%;25%;24%;47%;56;30;66;65;63;59;62;16;46;57;57;26;9;15;32;36;58;58;28
IPAPORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;163;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
IPAUMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;133;122;92%;39%;23%;39%;53%;70;42;70;63;76;50;68;22;58;57;34;45;36;39;36;60;67;57;43
IRACEMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;121;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
IRAUCUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;345;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
ITAICABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;94;92;98%;30%;14%;55%;61%;70;51;73;85;;68;74;24;71;76;;33;;;48;50;73;73;37
ITAITINGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;448;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
ITAPAJE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;575;491;85%;40%;27%;33%;52%;64;48;73;72;64;64;66;28;60;60;51;38;26;32;36;45;59;64;33
ITATIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;84;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
JAGUARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;25;25;100%;24%;8%;68%;66%;90;46;92;84;80;;84;16;70;76;56;44;56;50;;;88;;64
JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;420;379;90%;38%;35%;28%;50%;60;32;74;70;70;66;73;24;55;63;44;28;26;29;35;43;73;65;35
JARDIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;171;18;11%;33%;44%;22%;49%;64;11;83;56;39;;78;;;50;11;47;17;17;50;44;67;61;33
JATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;104;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
JUAZEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;410;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
JUCAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;302;286;95%;28%;19%;53%;59%;73;54;80;79;72;72;70;26;77;76;49;44;30;34;35;49;72;75;38
LIMOEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;456;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
MADALENA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;241;179;74%;23%;35%;42%;59%;71;51;77;70;64;71;84;33;64;74;46;50;34;37;50;63;75;70;44
MARACANAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;41;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
MARANGUAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;81;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
MARCO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;483;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
MARTINOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;203;147;72%;20%;20%;60%;67%;79;56;80;88;87;79;82;22;74;64;63;62;39;45;52;58;86;85;50
MASSAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;441;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
MAURITI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;580;521;90%;36%;25%;40%;55%;64;37;70;76;64;59;72;28;58;59;48;41;39;41;35;48;74;60;39
MERUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;235;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
MILAGRES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;42;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
MONSENHOR TABOSA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;122;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
MORADA NOVA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;611;20;3%;30%;10%;60%;62%;75;55;80;80;;65;85;45;70;65;;40;;;45;38;80;63;45
MUCAMBO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;186;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
MULUNGU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;111;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
NOVA OLINDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;207;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
NOVA RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;305;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
NOVO ORIENTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;367;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
OCARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;292;274;94%;41%;23%;36%;53%;63;39;78;77;72;59;70;25;57;66;40;32;23;31;49;42;76;70;34
PACAJUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;250;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
PACUJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;72;66;92%;29%;17%;55%;63%;77;56;77;86;;70;70;33;74;71;;48;;;29;48;77;74;41
PALHANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;85;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
PALMACIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;117;95;81%;29%;18%;53%;59%;68;52;72;75;77;77;78;29;82;71;60;42;33;50;60;42;62;63;47
PARACURU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;615;36;6%;78%;14%;8%;39%;44;32;61;53;;28;46;8;36;46;;25;;;19;33;56;38;44
PARAMOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;16;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
PEDRA BRANCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;465;411;88%;1%;0%;99%;89%;94;93;91;95;95;89;93;57;82;94;90;81;80;90;89;90;92;84;93
PENTECOSTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;352;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
PEREIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;166;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
PINDORETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;322;261;81%;36%;15%;49%;58%;66;47;68;80;;62;71;23;57;62;;32;;;42;47;75;76;32
PIQUET CARNEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;34;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
PORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;128;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
POTENGI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;98;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
POTIRETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;105;91;87%;21%;31%;48%;61%;74;39;81;88;82;89;81;39;55;68;65;48;34;18;46;47;77;74;33
QUIXELO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;169;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
QUIXERAMOBIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1049;879;84%;24%;19%;57%;63%;69;55;76;74;77;70;77;38;63;74;55;59;50;51;45;59;79;72;58
QUIXERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;266;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
REDENCAO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;91;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;62;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
SABOEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;120;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
SALITRE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;150;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
SANTA QUITERIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;5;1;20%;0%;100%;0%;59%;100;100;100;100;100;;0;100;50;100;50;0;0;50;;100;;50;100
SANTANA DO ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;66;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
SANTANA DO CARIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;208;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
SAO BENEDITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;32;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
SAO JOAO DO JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;66;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
SENADOR POMPEU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;133;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
SOLONOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;178;165;93%;33%;25%;42%;55%;75;41;73;78;92;57;73;23;53;65;59;39;27;31;36;47;77;79;41
TABULEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;295;20;7%;35%;25%;40%;54%;75;39;85;70;;80;72;32;75;74;52;46;15;24;63;25;62;0;20
TAMBORIL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;20;2;10%;50%;50%;0%;41%;50;0;100;50;100;;50;;;0;0;50;0;0;50;50;75;25;0
TAUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;521;67;13%;24%;19%;57%;63%;79;36;75;76;83;63;74;32;51;65;77;71;22;73;46;53;79;78;39
TEJUCUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;258;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
TIANGUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;118;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
TRAIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;634;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
UBAJARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;488;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
UMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;295;209;71%;60%;24%;15%;41%;52;34;57;56;54;42;54;20;37;42;34;24;27;26;34;36;67;56;29
URUBURETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;335;282;84%;44%;29%;28%;49%;62;39;63;61;62;58;63;23;51;55;38;31;24;28;53;40;73;60;32
URUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;171;147;86%;25%;22%;52%;62%;78;57;79;76;82;76;76;29;63;68;61;53;43;52;33;64;72;72;54
VARJOTA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;267;33;12%;15%;24%;61%;66%;74;76;91;70;91;;88;;;67;70;55;33;39;33;73;83;70;21
VICOSA DO CEARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;726;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;
