Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 48 (%);H 51 (%);H 53 (%);H 54 (%);H 55 (%);H 56 (%);H 57 (%);H 58 (%);H 59 (%);H 61 (%);H 62 (%)
ACARAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;185;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;902;13;1%;100%;0%;0%;23%;54;0;0;50;26;0;8;0;50;54;4
ACOPIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;98;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ALCANTARAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;141;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ALTANEIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;20;19;95%;0%;47%;53%;81%;82;84;89;100;89;68;55;89;84;89;71
ALTO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;88;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ANTONINA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;73;0;0%;0%;0%;0%;0%;;;;;;;;;;;
AQUIRAZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;137;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ARACATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;922;811;88%;19%;38%;43%;75%;64;79;82;79;89;71;73;79;69;66;82
ARACOIABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;357;311;87%;35%;29%;36%;69%;65;72;78;73;77;62;65;73;57;66;73
ARARENDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;160;150;94%;1%;65%;33%;83%;89;91;83;86;86;72;78;86;77;83;86
ARARIPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;346;303;88%;35%;33%;32%;68%;56;72;80;74;83;63;63;76;59;55;69
ARATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;217;176;81%;32%;41%;27%;68%;56;67;87;80;89;59;62;79;58;57;67
ARNEIROZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;9;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ASSARE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;218;0;0%;0%;0%;0%;0%;;;;;;;;;;;
AURORA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;208;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BAIXIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;33;23;70%;0%;4%;96%;95%;98;96;93;100;96;;89;93;93;98;87
BARRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;199;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BARROQUINHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;255;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BATURITE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;288;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BELA CRUZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;173;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BOA VIAGEM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;37;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BREJO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;540;0;0%;0%;0%;0%;0%;;;;;;;;;;;
CAMOCIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;598;14;2%;29%;50%;21%;67%;62;79;79;86;96;50;54;68;60;61;64
CAMPOS SALES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;38;0;0%;0%;0%;0%;0%;;;;;;;;;;;
CANINDE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;821;4;0%;75%;25%;0%;43%;8;50;63;50;75;25;25;50;50;38;63
CAPISTRANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;206;0;0%;0%;0%;0%;0%;;;;;;;;;;;
CARIRIACU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;133;0;0%;0%;0%;0%;0%;;;;;;;;;;;
CARNAUBAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;240;0;0%;0%;0%;0%;0%;;;;;;;;;;;
CASCAVEL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;724;83;11%;27%;39%;35%;71%;50;70;85;77;83;66;67;77;63;72;78
CATARINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;95;0;0%;0%;0%;0%;0%;;;;;;;;;;;
CATUNDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;120;5;4%;0%;20%;80%;91%;100;90;100;90;100;60;60;100;100;80;90
CAUCAIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;191;3;2%;100%;0%;0%;17%;33;0;0;0;22;0;17;0;50;33;17
CEDRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;24;0;0%;0%;0%;0%;0%;;;;;;;;;;;
CHAVAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;170;36;21%;44%;28%;28%;66%;57;72;79;71;78;54;47;76;56;58;76
CHORO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;181;146;81%;15%;37%;48%;79%;58;70;96;89;92;71;70;91;74;78;82
COREAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;54;0;0%;0%;0%;0%;0%;;;;;;;;;;;
CRATEUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;803;697;87%;22%;37%;41%;75%;57;81;83;83;88;66;75;78;70;63;77
CRATO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;337;55;16%;5%;38%;56%;83%;76;83;87;87;88;71;78;89;85;92;79
CROATA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;108;19;18%;5%;47%;47%;81%;74;76;100;92;88;66;63;87;87;79;89
CRUZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;470;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ERERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;68;7;10%;0%;14%;86%;92%;86;100;100;100;100;92;100;88;71;71;95
EUSEBIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;894;87;10%;5%;40%;55%;83%;63;95;90;84;95;75;76;91;90;79;84
FARIAS BRITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;32;0;0%;0%;0%;0%;0%;;;;;;;;;;;
FORQUILHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;236;0;0%;0%;0%;0%;0%;;;;;;;;;;;
FORTALEZA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;381;0;0%;0%;0%;0%;0%;;;;;;;;;;;
FORTIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;233;0;0%;0%;0%;0%;0%;;;;;;;;;;;
GRACA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;7;0;0%;0%;0%;0%;0%;;;;;;;;;;;
GRANJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;766;732;96%;18%;36%;45%;77%;59;83;90;85;90;67;73;82;71;69;80
GRANJEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;62;17;27%;18%;47%;35%;74%;62;79;88;88;85;76;76;71;71;56;69
GROAIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;134;0;0%;0%;0%;0%;0%;;;;;;;;;;;
GUAIUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;258;0;0%;0%;0%;0%;0%;;;;;;;;;;;
GUARAMIRANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;75;33;44%;0%;39%;61%;87%;95;92;95;87;98;;80;94;68;83;76
IBARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;78;0;0%;0%;0%;0%;0%;;;;;;;;;;;
