Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%)
ACARAPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;181;178;98%;5%;8%;87%;83%;91;94;85;91;82;65;74;71;85;86;85
ACARAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;939;578;62%;6%;12%;82%;80%;95;96;78;86;83;62;67;69;78;82;84
ACOPIARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;205;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ALCANTARAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;182;148;81%;3%;3%;94%;91%;98;97;93;96;92;86;88;80;84;93;95
ALTANEIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;20;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ALTO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;88;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ANTONINA DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;73;0;0%;0%;0%;0%;0%;;;;;;;;;;;
AQUIRAZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1110;1071;96%;10%;13%;77%;78%;92;94;78;84;78;62;64;65;78;79;79
ARACATI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;952;829;87%;8%;14%;79%;79%;92;94;79;90;80;65;64;63;77;81;84
ARACOIABA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;332;310;93%;7%;12%;81%;80%;92;94;79;86;79;66;69;62;80;83;80
ARARENDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;168;161;96%;1%;0%;99%;94%;96;92;96;93;94;94;89;86;92;97;93
ARARIPE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;377;294;78%;14%;21%;66%;70%;88;92;73;73;71;56;66;49;79;51;56
ARATUBA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;204;176;86%;10%;15%;75%;77%;94;94;79;84;81;63;65;55;74;77;71
ARNEIROZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;9;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ASSARE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;200;0;0%;0%;0%;0%;0%;;;;;;;;;;;
AURORA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;199;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BAIXIO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;33;23;70%;0%;0%;100%;95%;98;98;99;93;100;90;83;91;98;93;100
BARREIRA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;279;246;88%;12%;13%;75%;75%;90;94;73;82;81;56;62;61;67;80;80
BARRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;191;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BARROQUINHA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;271;250;92%;10%;10%;79%;79%;94;93;76;77;81;67;69;63;79;83;81
BATURITE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;404;343;85%;4%;16%;80%;80%;94;95;83;86;83;61;69;68;85;71;70
BELA CRUZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;279;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BOA VIAGEM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;37;0;0%;0%;0%;0%;0%;;;;;;;;;;;
BREJO SANTO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;570;536;94%;6%;10%;85%;83%;94;96;84;89;85;70;74;74;86;81;79
CAMOCIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;906;738;81%;7%;11%;82%;81%;92;94;80;89;81;67;68;66;80;82;80
CAMPOS SALES;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;38;0;0%;0%;0%;0%;0%;;;;;;;;;;;
CANINDE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;862;14;2%;14%;14%;71%;73%;93;93;88;82;69;50;43;57;75;68;71
CAPISTRANO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;206;9;4%;22%;0%;78%;81%;89;89;93;83;70;67;89;78;83;72;89
CARIDADE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;52;0;0%;0%;0%;0%;0%;;;;;;;;;;;
CARIRIACU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;198;7;4%;0%;0%;100%;94%;100;100;95;100;100;71;100;100;86;100;100
CARIUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;181;173;96%;1%;8%;91%;83%;97;98;92;89;82;77;74;64;92;64;75
CARNAUBAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;275;232;84%;13%;15%;72%;75%;90;93;75;81;77;59;60;50;73;80;74
CASCAVEL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;725;89;12%;7%;13%;80%;78%;92;97;80;88;79;60;71;65;71;79;79
CATARINA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;139;100;72%;12%;15%;72%;74%;87;89;72;80;71;60;60;55;73;81;75
CATUNDA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;134;85;63%;7%;9%;84%;83%;92;96;82;89;85;68;73;74;80;85;85
CAUCAIA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;4026;3516;87%;17%;18%;65%;71%;87;90;72;79;70;56;61;49;67;73;73
CEDRO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;211;195;92%;4%;7%;89%;85%;95;97;84;94;89;70;79;66;84;87;82
CHAVAL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;181;168;93%;4%;13%;83%;82%;97;97;83;91;82;61;68;72;82;87;81
CHORO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;174;156;90%;3%;6%;90%;86%;95;96;84;90;91;77;71;83;82;87;81
COREAU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;54;0;0%;0%;0%;0%;0%;;;;;;;;;;;
CRATEUS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;763;691;91%;13%;15%;72%;75%;87;89;76;70;75;62;65;67;75;77;81
CRATO;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;306;167;55%;10%;18%;72%;75%;70;89;83;81;69;59;68;73;81;77;72
CROATA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;249;219;88%;0%;0%;100%;95%;99;99;95;98;96;87;88;91;96;97;97
CRUZ;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;483;0;0%;0%;0%;0%;0%;;;;;;;;;;;
ERERE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;74;12;16%;33%;42%;25%;56%;92;92;58;46;53;36;50;33;50;54;42
