Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%)
ACARAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;181;176;97%;4%;18%;78%;81%;92;83;89;79;75;95;66;93;84;77;78;80
ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;939;599;64%;8%;24%;68%;76%;91;79;84;78;73;93;58;93;78;47;71;79
ACOPIARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;205;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
ALCANTARAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;182;148;81%;5%;3%;92%;90%;95;93;92;89;89;96;86;95;89;86;90;92
ALTANEIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;20;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
ALTO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;88;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
ANTONINA DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;73;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
AQUIRAZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1110;1066;96%;11%;23%;66%;75%;87;75;79;74;70;93;65;91;74;72;71;77
ARACATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;952;830;87%;8%;23%;69%;77%;90;79;83;75;71;93;65;91;78;65;76;72
ARACOIABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;332;312;94%;11%;27%;62%;73%;87;78;79;74;69;90;58;96;72;48;71;71
ARARENDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;168;157;93%;1%;1%;99%;89%;93;92;45;97;86;90;95;99;95;83;93;97
ARARIPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;377;269;71%;17%;35%;48%;67%;83;67;74;68;62;89;52;85;67;53;62;58
ARATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;204;180;88%;11%;27%;62%;75%;85;75;78;71;70;84;63;92;71;74;76;69
ARNEIROZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;9;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
ASSARE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;200;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
AURORA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;199;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
BAIXIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;33;23;70%;0%;0%;100%;95%;98;90;100;85;100;100;90;100;100;100;93;96
BARREIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;279;240;86%;9%;33%;59%;73%;85;75;79;72;68;88;58;86;74;59;74;70
BARRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;191;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
BARROQUINHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;271;247;91%;10%;17%;73%;78%;74;87;84;77;72;86;71;92;80;64;74;76
BATURITE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;404;346;86%;11%;23%;66%;79%;84;85;81;69;72;90;57;92;77;71;80;71
BELA CRUZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;279;0;0%;0%;0%;0%;0%;;;;;;;;;;;;
