Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 68 (%);H 69 (%);H 70 (%);H 71 (%);H 72 (%);H 73 (%);H 74 (%);H 75 (%);H 77 (%);H 78 (%);H 80 (%);H 81 (%);H 82 (%);H 83 (%);H 85 (%)
ITAITINGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;430;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ITAPAJE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;443;395;89%;47%;23%;30%;49%;51;55;33;33;57;17;61;66;37;52;73;51;52;63;24
ITATIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;94;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
JAGUARIBARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;16;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;487;412;85%;50%;22%;28%;48%;52;57;29;27;63;23;56;62;39;52;61;55;60;58;31
JARDIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;394;373;95%;45%;23%;32%;50%;44;54;35;33;61;19;57;65;46;58;42;51;56;52;38
JATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;116;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
JUAZEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1021;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
JUCAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;388;350;90%;33%;24%;43%;58%;54;60;37;40;70;24;70;76;57;54;75;66;62;74;39
LIMOEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;546;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MADALENA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;244;186;76%;34%;25%;41%;58%;57;62;42;35;68;40;63;72;50;63;77;62;66;67;48
MARACANAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;51;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MARANGUAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;72;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MARCO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;474;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MARTINOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;203;155;76%;23%;17%;61%;68%;61;71;47;53;76;22;82;82;65;70;84;74;68;77;57
MASSAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;540;461;85%;32%;19%;49%;62%;69;;;48;67;35;79;83;48;62;70;66;66;69;45
MAURITI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;618;497;80%;59%;19%;21%;44%;47;51;35;29;46;21;53;53;36;43;48;47;47;52;31
MERUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;232;228;98%;21%;15%;64%;72%;75;81;64;52;79;;79;85;57;;;74;76;76;51
MILAGRES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;23;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MONSENHOR TABOSA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;147;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MORADA NOVA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;395;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MUCAMBO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;201;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MULUNGU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;146;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
NOVA OLINDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;245;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
NOVA RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;307;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
NOVO ORIENTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;384;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
OCARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;108;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PACAJUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;230;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PACUJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;66;44;67%;34%;23%;43%;56%;66;;;45;66;27;65;75;45;49;66;52;65;64;42
PALHANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;93;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PALMACIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;127;113;89%;35%;18%;48%;62%;68;67;53;50;59;13;75;71;48;71;74;75;74;64;27
PARACURU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;559;27;5%;70%;19%;11%;37%;22;;;13;57;30;39;65;33;31;52;30;35;56;22
PARAMOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;14;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PEDRA BRANCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;495;426;86%;1%;1%;99%;91%;91;93;90;86;90;87;94;94;87;92;91;91;90;93;92
PENTECOSTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;402;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PEREIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;138;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PINDORETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;307;238;78%;39%;26%;35%;55%;47;;;36;64;37;74;74;31;60;72;57;65;60;33
PIQUET CARNEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;25;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;137;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
POTENGI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;109;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
POTIRETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;103;85;83%;41%;21%;38%;54%;52;60;32;35;61;12;68;72;45;55;58;52;65;64;53
QUIXELO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;216;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
QUIXERAMOBIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1221;939;77%;32%;15%;53%;64%;62;67;47;49;70;54;70;75;59;67;61;68;69;69;52
QUIXERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;288;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
REDENCAO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;98;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
RERIUTABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;192;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;70;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
SABOEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;154;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
SALITRE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;301;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
SANTANA DO ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;86;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
SANTANA DO CARIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;171;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
SAO BENEDITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;21;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
SAO JOAO DO JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;61;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
SENADOR POMPEU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;172;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
SOLONOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;166;154;93%;39%;18%;44%;57%;55;69;44;43;71;33;64;80;52;59;58;59;64;66;44
TABULEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;298;17;6%;35%;18%;47%;59%;56;59;53;47;59;35;65;100;53;65;65;65;74;82;32
TAMBORIL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;27;4;15%;25%;50%;25%;50%;50;63;25;50;75;0;50;63;25;38;75;75;75;25;50
TAUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;565;76;13%;33%;22%;43%;60%;56;64;43;51;74;41;63;72;49;62;59;59;66;73;46
TEJUCUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;278;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
TIANGUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;138;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
TRAIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;670;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
UBAJARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;520;35;7%;0%;0%;100%;86%;76;89;94;69;94;14;100;97;97;77;97;100;100;91;94
UMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;363;148;41%;61%;14%;24%;43%;44;47;25;32;48;0;56;60;35;47;67;47;42;49;23
URUBURETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;318;297;93%;55%;23%;23%;47%;47;50;29;30;55;25;54;65;34;51;58;49;54;56;34
URUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;216;197;91%;25%;17%;58%;65%;66;68;50;50;72;21;71;80;61;66;86;67;70;69;53
VARJOTA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;228;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
VICOSA DO CEARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;782;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
