Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 75 (%);H 77 (%);H 82 (%);H 83 (%);H 84 (%);H 85 (%);H 88 (%);H 90 (%);H 92 (%);H 93 (%);H 94 (%);H 95 (%);H 96 (%);H 97 (%);H 98 (%)
ARARENDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;129;129;100%;0%;1%;99%;88%;65;86;97;97;96;96;97;95;98;92;97;95;98;85;1
ARARIPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;311;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ARATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;185;164;89%;23%;21%;57%;62%;78;54;66;47;69;76;70;44;71;72;48;61;51;49;61
ARNEIROZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;8;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ASSARE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;204;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
AURORA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;257;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
BARRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;262;11;4%;9%;9%;82%;65%;95;73;45;18;91;50;82;68;91;73;27;68;9;82;55
BARROQUINHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;245;224;91%;21%;31%;48%;59%;82;70;58;32;69;76;71;47;39;74;42;58;33;58;56
BATURITE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;400;373;93%;31%;29%;40%;56%;67;52;54;0;65;70;55;48;71;63;37;60;46;45;54
BELA CRUZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;310;301;97%;18%;18%;65%;66%;83;64;76;60;78;78;61;59;69;73;61;58;47;58;70
BOA VIAGEM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;10;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
BREJO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;539;510;95%;17%;21%;62%;65%;77;58;67;54;75;73;70;52;75;77;46;61;52;52;67
CAMOCIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;866;747;86%;25%;23%;53%;61%;75;60;65;42;67;70;69;52;70;72;40;55;46;48;56
CAMPOS SALES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;42;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CANINDE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;789;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CAPISTRANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;197;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CARIRIACU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;184;7;4%;0%;29%;71%;75%;86;71;57;57;71;64;86;86;93;71;100;86;100;86;0
CARIUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;183;179;98%;14%;21%;65%;68%;84;71;69;49;81;86;72;47;73;87;48;72;49;51;56
CARNAUBAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;255;227;89%;26%;28%;46%;58%;80;55;59;32;66;71;61;35;69;69;41;57;44;35;58
CASCAVEL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;732;74;10%;23%;15%;62%;65%;79;56;80;53;68;74;66;54;76;69;64;58;64;65;58
CATARINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;110;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CATUNDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;162;141;87%;30%;19%;50%;59%;71;55;63;37;60;66;56;41;67;68;57;60;63;46;57
CAUCAIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;3889;3358;86%;37%;27%;36%;52%;66;49;56;30;51;59;61;42;65;69;39;50;34;36;54
CEDRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;50;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
CHAVAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;208;173;83%;25%;25%;49%;59%;74;61;56;39;68;69;53;49;75;70;36;56;46;51;51
CHORO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;187;148;79%;30%;18%;51%;57%;78;52;70;59;70;72;52;;59;62;29;43;49;34;54
CRATEUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;822;706;86%;25%;22%;52%;59%;76;61;65;40;66;71;63;46;67;64;34;58;49;46;53
CRATO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;125;45;36%;36%;24%;40%;53%;69;52;68;51;67;68;52;50;55;47;29;29;56;36;50
CROATA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;284;274;96%;18%;18%;64%;67%;81;62;70;55;80;81;68;58;60;73;71;63;54;58;56
ERERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;82;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
EUSEBIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;940;15;2%;0%;20%;80%;83%;87;80;80;;93;87;87;53;97;97;93;93;87;87;67
FARIAS BRITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;21;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
FORQUILHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;253;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
FORTALEZA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;19317;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
FORTIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;204;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
GRANJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;750;682;91%;11%;15%;74%;73%;84;75;75;51;80;83;73;62;79;80;72;69;59;61;72
GRANJEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;81;53;65%;38%;21%;42%;55%;64;60;60;36;58;68;64;40;59;68;49;61;25;34;60
GROAIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;135;129;96%;9%;9%;83%;78%;91;83;76;67;86;91;67;67;89;84;74;76;62;63;63
GUARAMIRANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;81;76;94%;13%;16%;71%;66%;84;73;72;79;88;88;59;41;81;70;28;54;49;47;63
HORIZONTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
IBARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;192;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
IBIAPINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;387;304;79%;29%;18%;53%;60%;70;56;58;36;69;68;65;53;68;71;63;58;49;43;57
ICAPUI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;272;267;98%;16%;30%;54%;63%;78;61;65;36;69;77;67;41;77;77;54;68;46;44;61
ICO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;721;627;87%;33%;28%;39%;53%;66;45;56;38;50;63;62;50;65;74;38;46;41;35;47
IGUATU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;244;133;55%;32%;29%;38%;55%;71;45;59;27;66;66;56;41;70;68;27;52;39;37;53
IPAPORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;163;153;94%;25%;24%;51%;59%;78;57;57;35;68;76;56;44;79;71;42;57;36;33;58
IPAUMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;129;127;98%;20%;24%;57%;61%;78;64;62;58;65;68;54;59;77;80;43;45;47;58;63
IPU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;209;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
IRACEMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;133;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
IRAUCUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;342;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
ITAICABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;93;63;68%;21%;14%;65%;66%;81;81;74;41;76;75;70;45;82;70;22;73;54;51;56
ITAITINGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;840;705;84%;36%;23%;41%;53%;67;50;56;45;64;68;52;40;58;61;36;50;40;42;53
ITAPAJE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;628;553;88%;27%;27%;45%;56%;74;57;56;50;61;74;60;41;67;65;37;52;40;41;57
ITATIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;293;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
JAGUARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;25;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;421;390;93%;22%;28%;51%;61%;76;50;64;37;69;77;62;48;73;73;41;57;40;46;57
JARDIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;355;339;95%;28%;22%;50%;56%;73;49;70;42;61;68;54;48;70;68;36;55;48;37;58
JATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;102;14;14%;14%;21%;64%;67%;79;79;71;36;68;89;71;57;93;79;29;57;36;64;57
JUAZEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;686;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
JUCAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;295;286;97%;15%;12%;73%;71%;83;70;74;61;80;81;64;54;81;78;66;64;59;63;64
LIMOEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;577;542;94%;19%;21%;60%;65%;81;63;66;43;68;79;69;51;72;81;58;60;40;52;59
MADALENA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;265;233;88%;26%;22%;52%;61%;77;64;62;44;69;73;72;53;68;65;39;56;44;44;57
MARACANAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;41;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MARANGUAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;81;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MARCO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;483;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MARTINOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;202;147;73%;10%;19%;71%;72%;90;69;82;63;79;82;68;66;87;81;52;64;59;63;71
MASSAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;476;450;95%;14%;16%;70%;71%;82;74;68;57;81;83;70;60;78;80;67;68;62;57;46
MAURITI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;579;447;77%;32%;21%;46%;55%;71;51;61;40;58;67;60;47;66;73;31;50;44;40;50
MERUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;229;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MILAGRES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;42;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MIRAIMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;19;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MOMBACA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;18;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MONSENHOR TABOSA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;132;125;95%;20%;14%;66%;64%;81;58;75;56;72;78;63;;55;66;37;54;56;66;64
MORADA NOVA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;627;544;87%;25%;25%;50%;60%;72;60;62;37;73;78;62;41;71;75;36;56;37;49;53
MUCAMBO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;186;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
MULUNGU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;131;112;85%;57%;13%;30%;43%;43;33;39;31;45;55;41;25;47;44;68;49;62;28;35
NOVA OLINDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;207;201;97%;0%;1%;99%;90%;92;93;92;93;87;90;87;100;69;90;92;90;95;95;86
NOVA RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;295;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
NOVO ORIENTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;367;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
OCARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;295;276;94%;31%;17%;52%;60%;75;49;67;40;65;72;70;45;55;67;;58;;44;60
PACAJUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;250;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PACUJA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;75;74;99%;26%;23%;51%;61%;81;54;63;47;72;65;64;45;78;73;53;49;41;50;62
PALHANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;85;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PALMACIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;113;88;78%;14%;15%;72%;70%;79;78;63;80;84;84;72;56;75;73;49;54;74;46;73
PARACURU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;634;531;84%;22%;22%;56%;62%;72;59;65;46;64;68;66;51;71;74;53;60;56;53;61
PARAMOTI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;36;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PEDRA BRANCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;451;416;92%;0%;0%;100%;98%;96;98;98;94;98;96;98;98;98;99;98;99;99;98;97
PENTECOSTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;623;411;66%;43%;26%;31%;50%;63;45;53;34;47;59;53;40;58;69;30;50;39;37;53
PEREIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;166;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PINDORETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;323;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PIQUET CARNEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;34;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
PIRES FERREIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;136;136;100%;0%;0%;100%;97%;97;97;97;96;98;100;91;90;95;96;;97;;96;97
PORANGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;157;137;87%;20%;23%;57%;66%;75;63;67;44;69;74;69;51;80;79;50;66;57;47;72
PORTEIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;145;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
POTENGI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;98;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
POTIRETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;83;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
QUIXELO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;162;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
QUIXERAMOBIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1024;881;86%;11%;16%;73%;72%;81;66;75;65;75;79;69;61;79;81;61;70;70;65;73
QUIXERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;227;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
REDENCAO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;415;394;95%;25%;23%;52%;60%;72;59;63;42;68;73;64;43;76;73;35;57;43;46;55
RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;62;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
SABOEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;172;127;74%;32%;13%;54%;61%;73;60;59;43;61;70;65;44;73;80;46;58;47;50;63
SALITRE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;148;14;9%;50%;14%;36%;48%;68;46;64;36;54;57;46;;64;57;29;32;29;50;46
SANTANA DO ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;89;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
SANTANA DO CARIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;209;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
SAO BENEDITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;460;31;7%;23%;26%;52%;64%;76;53;60;;81;77;71;40;85;63;52;77;71;47;63
SAO JOAO DO JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;67;66;99%;12%;18%;70%;68%;81;67;65;45;78;84;64;55;78;79;70;67;59;55;52
SENADOR POMPEU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;133;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
SOLONOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;178;173;97%;24%;27%;49%;61%;75;49;61;42;60;74;72;45;72;73;52;55;57;53;60
TABULEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;310;140;45%;17%;23%;60%;64%;77;60;64;49;79;79;69;44;70;73;26;67;53;52;60
TAMBORIL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;14;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
TAUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;557;9;2%;0%;0%;100%;98%;100;94;94;100;94;100;100;100;100;100;;100;;100;100
TEJUCUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;259;25;10%;44%;20%;36%;52%;68;44;38;20;58;74;60;36;76;72;24;48;16;48;64
TIANGUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1067;909;85%;34%;25%;41%;55%;69;50;57;32;55;66;61;45;70;68;48;52;38;36;55
TRAIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;634;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;
UBAJARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;503;399;79%;19%;14%;67%;66%;75;55;69;51;69;74;67;59;81;72;47;71;67;57;48
UMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;298;236;79%;49%;24%;28%;49%;60;40;50;31;42;54;63;41;68;69;29;44;33;36;46
URUBURETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;298;129;43%;43%;22%;34%;49%;66;41;65;34;59;64;45;40;70;57;29;41;30;21;52
URUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;168;145;86%;18%;22%;60%;65%;73;65;61;68;72;75;61;60;68;62;57;63;45;70;67
VARJOTA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;266;52;20%;37%;29%;35%;52%;67;48;58;30;65;68;63;41;53;68;31;52;29;46;38
VICOSA DO CEARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;777;19;2%;5%;42%;53%;68%;82;47;63;63;63;79;58;66;82;89;79;58;68;58;53
